Algoritmo,n,Keygen_us,Keygen_ciclos,Sign_us,Sign_ciclos,Verify_us,Verify_ciclos
Falcon-1024,1024,16018,46366215,590,1706679,72,210627
Falcon-1024,1024,13264,38392346,566,1638558,72,208946
Falcon-1024,1024,14123,40879444,573,1659090,72,207640
Falcon-1024,1024,14420,41738830,571,1654102,74,213149
Falcon-1024,1024,19731,57111092,576,1668398,75,215267
Falcon-1024,1024,15696,45433343,566,1638703,72,206886
Falcon-1024,1024,15315,44332822,572,1653957,74,214193
Falcon-1024,1024,19608,56754276,574,1662454,71,207060
Falcon-1024,1024,17900,51811690,576,1667616,74,213498
Falcon-1024,1024,13078,37854947,564,1632700,71,206828
Falcon-1024,1024,18465,53448682,575,1663208,74,215151
Falcon-1024,1024,20448,59186245,592,1715146,73,209873
Falcon-1024,1024,17560,50829982,571,1652275,71,206248
Falcon-1024,1024,16451,47618348,564,1631105,71,206625
Falcon-1024,1024,13605,39380289,570,1650999,72,208915
Falcon-1024,1024,13388,38753715,572,1656509,71,206190
Falcon-1024,1024,14512,42005746,580,1679333,71,206452
Falcon-1024,1024,16228,46973765,606,1754268,72,208538
Falcon-1024,1024,13092,37896823,569,1647897,72,207466
Falcon-1024,1024,16524,47828395,563,1631308,71,206075
Falcon-1024,1024,14482,41918949,559,1618171,71,206016
Falcon-1024,1024,19008,55019612,574,1662164,72,207176
Falcon-1024,1024,21540,62350116,576,1667268,71,206538
Falcon-1024,1024,17182,49734450,568,1642676,71,206335
Falcon-1024,1024,13441,38907589,570,1648563,75,216050
Falcon-1024,1024,14969,43328233,568,1644705,72,206538
Falcon-1024,1024,14639,42373176,571,1653667,72,207466
Falcon-1024,1024,17164,49683815,614,1779179,73,210048
Falcon-1024,1024,19219,55631686,628,1815574,72,210250
Falcon-1024,1024,13256,38372568,573,1658916,72,207002
Falcon-1024,1024,13096,37906799,570,1649839,74,213904
Falcon-1024,1024,15693,45422961,609,1763722,76,220139
Falcon-1024,1024,13618,39418743,617,1786690,72,208452
Falcon-1024,1024,15286,44246025,598,1730982,93,268482
Falcon-1024,1024,19432,56247762,600,1736752,71,206682
Falcon-1024,1024,19580,56676875,573,1657756,71,207321
Falcon-1024,1024,13591,39341748,615,1779034,72,209322
Falcon-1024,1024,14952,43279368,567,1640616,71,206277
Falcon-1024,1024,14273,41313458,570,1651202,72,207669
Falcon-1024,1024,13781,39888630,571,1651927,71,206741
Falcon-1024,1024,15783,45685440,566,1637369,71,206103
Falcon-1024,1024,13082,37868519,569,1645141,74,216746
Falcon-1024,1024,13725,39729014,587,1698356,72,208162
Falcon-1024,1024,17692,51210781,582,1684233,75,218573
Falcon-1024,1024,16007,46332025,611,1768391,71,206944
Falcon-1024,1024,16842,48752045,666,1928239,73,210570
Falcon-1024,1024,34861,100907472,640,1852113,75,216341
Falcon-1024,1024,30380,87935192,658,1906199,73,211671
Falcon-1024,1024,16465,47658919,580,1676751,71,207060
Falcon-1024,1024,14127,40890754,592,1712914,72,210656
Falcon-1024,1024,14700,42551788,604,1747047,74,215383
Falcon-1024,1024,18083,52345493,569,1646359,72,207176
Falcon-1024,1024,13269,38406208,572,1655349,71,207204
Falcon-1024,1024,14975,43346503,566,1638761,72,206770
Falcon-1024,1024,24417,70678104,566,1636847,71,206915
Falcon-1024,1024,13261,38385908,567,1642008,72,207495
Falcon-1024,1024,14298,41386770,582,1684581,72,206248
Falcon-1024,1024,18165,52579552,572,1656306,71,207669
Falcon-1024,1024,15163,43891965,629,1823636,73,209177
Falcon-1024,1024,15353,44438238,602,1744438,76,218516
Falcon-1024,1024,17718,51286384,567,1640384,71,207582
Falcon-1024,1024,15302,44294339,619,1794346,73,211062
Falcon-1024,1024,14321,41453180,571,1651812,72,209120
Falcon-1024,1024,14979,43359582,607,1757313,74,216051
Falcon-1024,1024,14117,40861754,572,1654943,72,209960
Falcon-1024,1024,13930,40321484,574,1661961,72,207640
Falcon-1024,1024,15309,44312493,578,1674286,71,207262
Falcon-1024,1024,18896,54696900,585,1692759,72,207554
Falcon-1024,1024,13446,38920349,574,1661526,72,207001
Falcon-1024,1024,13255,38368305,599,1733939,72,209322
Falcon-1024,1024,17693,51215537,570,1647519,71,207292
Falcon-1024,1024,13425,38861624,613,1772770,72,209293
Falcon-1024,1024,23576,68243496,581,1680231,72,209989
Falcon-1024,1024,14628,42344756,568,1645779,75,216021
Falcon-1024,1024,23936,69282654,575,1666804,72,206799
Falcon-1024,1024,13293,38479143,604,1750555,73,209351
Falcon-1024,1024,16149,46743940,564,1634005,72,207467
Falcon-1024,1024,15150,43854787,613,1772509,72,208452
Falcon-1024,1024,17185,49742569,584,1691048,72,208887
Falcon-1024,1024,14444,41808778,569,1647287,72,207233
Falcon-1024,1024,22227,64336152,574,1663440,72,206537
Falcon-1024,1024,13949,40375337,571,1651637,73,213121
